"Employee ID","Registration Number","First Name","Middle Name",Surname,Gender,"Date of Birth",Email,"Mobile Number",Department,"Grade Level",Step,"Appointment Type","Date of First Appointment","Years of Service",Status,State,LGA,"Bank Name","Account Number","Account Name"
1,REG00001,Susan,Sarah,Adeleke,Female,1966-10-22,susan.adeleke1@company.com,07043756068,"Human Resources",GL16,"Step 10",Permanent,2021-10-22,4,Suspended,,,"Wema Bank",2315643928,"Susan Adeleke"
2,REG00002,Mojisola,Patricia,Wahab,Male,2000-10-22,mojisola.wahab2@company.com,08016105953,"Human Resources",,,Contract,2019-10-22,6,Active,,,"Heritage Bank",2724409551,"Mojisola Wahab"
3,REG00003,Omobola,Halima,Nguyen,Female,1965-10-22,omobola.nguyen3@company.com,08083526875,"Information Technology",GL14,"Step 9",Permanent,2013-10-22,12,Active,,,"SunTrust Bank",3137031981,"Omobola Nguyen"
4,REG00004,Adunni,Lisa,Anozie,Male,1987-10-22,adunni.anozie4@company.com,08068370416,Finance,GL03,"Step 7",Permanent,2006-10-22,19,Active,,,"Sterling Bank",1645453231,"Adunni Anozie"
5,REG00005,Michael,,Nguyen,Male,2002-10-22,michael.nguyen5@company.com,09077181794,Finance,GL02,"Step 13",Permanent,2020-10-22,5,Suspended,,,"Fidelity Bank",9206671664,"Michael Nguyen"
6,REG00006,Michael,Mubarak,Adebowale,Male,1976-10-22,michael.adebowale6@company.com,09046241354,Finance,GL13,"Step 5",Permanent,1997-10-22,28,Suspended,,,"Access Bank",3577027026,"Michael Adebowale"
7,REG00007,Obiageli,Kemi,Rodriguez,Female,1981-10-22,obiageli.rodriguez7@company.com,08086855950,"Information Technology",,,Contract,2003-10-22,22,Suspended,,,"Titan Trust Bank",8672668052,"Obiageli Rodriguez"
8,REG00008,Ezinne,Jumoke,Adeleke,Male,1985-10-22,ezinne.adeleke8@company.com,09057923059,"Information Technology",,,Contract,2003-10-22,22,Active,,,"Heritage Bank",4114565061,"Ezinne Adeleke"
9,REG00009,Linda,Jumoke,Abiodun,Male,1979-10-22,linda.abiodun9@company.com,08189943911,Finance,GL14,"Step 9",Permanent,2002-10-22,23,Suspended,,,"Globus Bank",5938095655,"Linda Abiodun"
10,REG00010,Nwamaka,,Thompson,Male,1969-10-22,nwamaka.thompson10@company.com,09051749191,Finance,,,Contract,1990-10-22,35,Active,,,FCMB,6126523546,"Nwamaka Thompson"
